ProjectID,Project Name,Created,Budget,Expense,ManagerID,LocationID,TypeID,StatusID,HealthStatusID,OnSchedule
P1000,Auditorium Setup 1,31/01/2023,307750,250397.62,M1,L1,T1,S1,H1,Yes
P1001,Lab Implementation 1,30/12/2023,403531,305281.13,M1,L2,T2,S2,H1,No
P1002,Park Place 1,10/05/2022,313160,161356.15,M2,L3,T2,S3,H1,No
P1003,Science Park Phase 2,18/07/2023,105591,59630.92,M3,L2,T3,S3,H1,No
P1004,Research Offices,4/02/2023,270884,140550.2,M3,L3,T1,S4,H3,Yes
P1005,Innovation Classroom,31/12/2022,73247,64592.59,M1,L1,T3,S3,H2,Yes
P1006,Transformer Installation,20/09/2024,74300,51163.99,M3,L4,T1,S4,H3,Yes
P1007,Borehole & Reticulation,10/11/2022,132798,106921.3,M3,L3,T1,S3,H1,Yes
P1008,Road Construction,26/06/2024,59268,61907.79,M1,L2,T3,S1,H1,Yes
P1009,Supplies,1/05/2020,398951,259148.73,M3,L1,T3,S3,H1,Yes
P1010,Warehouse Expansion,11/04/2021,324329,242023.95,M4,L3,T1,S4,H3,No
P1011,Office Renovation,23/05/2023,244776,233352.47,M5,L4,T4,S4,H3,Yes
P1012,IT Infrastructure Upgrade,26/11/2020,267851,170695.79,M5,L4,T2,S2,H1,Yes
P1013,Security System Installation,22/01/2024,482315,263434.64,M1,L5,T3,S1,H1,Yes
P1014,Parking Lot Expansion,28/03/2020,451787,304437.06,M2,L5,T2,S3,H1,No
P1015,Energy Efficiency Upgrade,28/10/2023,286584,171014.06,M1,L2,T4,S2,H2,Yes
P1016,Community Center Build,28/01/2023,88044,93134.58,M2,L3,T4,S3,H1,Yes
P1017,Water Treatment Plant,21/05/2022,363358,357861.2,M5,L3,T4,S3,H2,No
P1018,Data Center Setup,14/08/2024,426896,375686.52,M1,L5,T3,S2,H1,Yes
P1019,Hospital Wing Extension,10/05/2020,98984,101248.39,M4,L3,T4,S2,H1,Yes
